CMD_ID,CMD_PKT_NAME,CMD_PKT_RELID,qry_icd_cmd_definitions_agg_spec_SHORT_DESCRIPTION,qry_icd_cmd_definitions_agg_spec_DESCRIPTION,SEQUENCE_NUMBER,AGGREGATE_SPEC_RELID,MAX_LENGTH,DATA_ITEM_RELID,CONSTRAINT_RELID,ENDIAN_RELID,DATA_ITEM_NAME,UNITS,DATA_TYPE_RELID,ARRAY_RELID,ENUM_RELID,ANALOG_RELID,data_item_SHORT_DESCRIPTION,data_item_DESCRIPTION,DATA_TYPE_NAME,NUM_BITS,ENDIAN_NAME,LOW_VALUE,HIGH_VALUE,ARRAY_NAME,NUM_DIMENSIONS,DIM_1_SIZE,DIM_2_SIZE,ANALOG_NAME,NUM_COEF,COEF_0,COEF_1
22,MEM_PEEK,1,Request a memory location to be downlinked in TLM,The Peek command is used to read memory contents.  Up to five locations can be selected.  The configured memory locations are shown in PEEK_CB telemetry packets while the memory values appear in the PEEK_DATA telemetry packets.,40,12261,9,15687,1003,2,NUM_PEEK_BYTES,bytes,24,,,,Number of bytes to peek,Values can range from 1 to 4 bytes.,UInt8,8,little_endian,1,4,,,,,,,,
22,MEM_PEEK,1,Request a memory location to be downlinked in TLM,The Peek command is used to read memory contents.  Up to five locations can be selected.  The configured memory locations are shown in PEEK_CB telemetry packets while the memory values appear in the PEEK_DATA telemetry packets.,50,13642,9,17145,1522,2,LIST_ENTRY,,24,,,,Peek Entry,Indicates which of the 5 peek entries is being configured.,UInt8,8,little_endian,0,4,,,,,,,,
22,MEM_PEEK,1,Request a memory location to be downlinked in TLM,The Peek command is used to read memory contents.  Up to five locations can be selected.  The configured memory locations are shown in PEEK_CB telemetry packets while the memory values appear in the PEEK_DATA telemetry packets.,60,13643,9,17146,,2,MEMORY_NODE,,24,,50,,Memory Node ID,The node ID of the target memory region.,UInt8,8,little_endian,,,,,,,,,,
23,MEM_LOAD,382,Load Memory,The contents of the MEM_DATA array are loaded into the target memory area indicated by MEMORY_TYPE and MEMORY_SUBTYPE.  The MEMORY_ADDR specifies an offset into the memory area.  The MEMLCB telemetry packet provides the current state of the load operation.,10,12181,476,4333,,2,MEMORY_TYPE,,24,,,,The memory region ID.,This is used to select one of the 256 memory area types.,UInt8,8,little_endian,,,,,,,,,,
23,MEM_LOAD,382,Load Memory,The contents of the MEM_DATA array are loaded into the target memory area indicated by MEMORY_TYPE and MEMORY_SUBTYPE.  The MEMORY_ADDR specifies an offset into the memory area.  The MEMLCB telemetry packet provides the current state of the load operation.,20,12182,476,15486,,2,MEMORY_SUBTYPE,,24,,,,The memory region Sub-ID,This is used to select one of the sub-elements of a memory area.,UInt8,8,little_endian,,,,,,,,,,
23,MEM_LOAD,382,Load Memory,The contents of the MEM_DATA array are loaded into the target memory area indicated by MEMORY_TYPE and MEMORY_SUBTYPE.  The MEMORY_ADDR specifies an offset into the memory area.  The MEMLCB telemetry packet provides the current state of the load operation.,30,12183,476,4400,,2,MEMORY_ADDR,bytes,26,,,,The offset into the memory region,The offset is the number of bytes from the start of the memory region.,UInt32,32,little_endian,,,,,,,,,,
23,MEM_LOAD,382,Load Memory,The contents of the MEM_DATA array are loaded into the target memory area indicated by MEMORY_TYPE and MEMORY_SUBTYPE.  The MEMORY_ADDR specifies an offset into the memory area.  The MEMLCB telemetry packet provides the current state of the load operation.,40,12184,476,16213,,2,NUM_LOAD_BYTES,bytes,25,,,,Number of bytes to load,,UInt16,16,little_endian,,,,,,,,,,
23,MEM_LOAD,382,Load Memory,The contents of the MEM_DATA array are loaded into the target memory area indicated by MEMORY_TYPE and MEMORY_SUBTYPE.  The MEMORY_ADDR specifies an offset into the memory area.  The MEMLCB telemetry packet provides the current state of the load operation.,50,12185,476,16214,,2,MEM_DATA,,24,1160,,,Memory Load Data,The actual data to load into memory.  The NUM_LOAD_BYTES parameter indicates how much of this array is filled with valid data.,UInt8,8,little_endian,,,MEM_LOAD_DATA,1,468,,,,,
24,MEM_DUMP,60,Request a memory dump for a specific memory type,Request one or more copies of all or part of a memory region to be sent as a series of memory dump telemetry packets.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The current state of the memory dump is presented in telemetry packet MEMDUMPCB.,10,11721,13,4333,,2,MEMORY_TYPE,,24,,,,The memory region ID.,This is used to select one of the 256 memory area types.,UInt8,8,little_endian,,,,,,,,,,
24,MEM_DUMP,60,Request a memory dump for a specific memory type,Request one or more copies of all or part of a memory region to be sent as a series of memory dump telemetry packets.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The current state of the memory dump is presented in telemetry packet MEMDUMPCB.,20,11730,13,15486,,2,MEMORY_SUBTYPE,,24,,,,The memory region Sub-ID,This is used to select one of the sub-elements of a memory area.,UInt8,8,little_endian,,,,,,,,,,
24,MEM_DUMP,60,Request a memory dump for a specific memory type,Request one or more copies of all or part of a memory region to be sent as a series of memory dump telemetry packets.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The current state of the memory dump is presented in telemetry packet MEMDUMPCB.,33,11734,13,14647,,2,DUMP_FLAG_SPARE,,187,,,,Memory Dump Flag - Spare Bits,,3BitUInt8,3,little_endian,,,,,,,,,,
24,MEM_DUMP,60,Request a memory dump for a specific memory type,Request one or more copies of all or part of a memory region to be sent as a series of memory dump telemetry packets.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The current state of the memory dump is presented in telemetry packet MEMDUMPCB.,34,11735,13,14648,,2,DUMP_FLAG_EXCLUSIVE,,1,,4,,Memory Dump Flag - Set Exclusive,,1BitUInt8,1,little_endian,,,,,,,,,,
24,MEM_DUMP,60,Request a memory dump for a specific memory type,Request one or more copies of all or part of a memory region to be sent as a series of memory dump telemetry packets.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The current state of the memory dump is presented in telemetry packet MEMDUMPCB.,35,11736,13,14649,,2,DUMP_FLAG_PRIO_MAX,,1,,4,,Memory Dump Flag - Set Priority Max,,1BitUInt8,1,little_endian,,,,,,,,,,
24,MEM_DUMP,60,Request a memory dump for a specific memory type,Request one or more copies of all or part of a memory region to be sent as a series of memory dump telemetry packets.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The current state of the memory dump is presented in telemetry packet MEMDUMPCB.,36,11737,13,14650,,2,DUMP_FLAG_AUTO,,1,,4,,Memory Dump Flag - Auto Dump,"If YES, start the dump as soon as the command is received.",1BitUInt8,1,little_endian,,,,,,,,,,
24,MEM_DUMP,60,Request a memory dump for a specific memory type,Request one or more copies of all or part of a memory region to be sent as a series of memory dump telemetry packets.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The current state of the memory dump is presented in telemetry packet MEMDUMPCB.,37,11738,13,14651,,2,DUMP_FLAG_NBYTES,,1,,4,,Memory Dump Flag - Selected Number of Bytes,"If YES, the NUM_MEM_BYTES parameter gives the number of bytes to dump.  Otherwise, dump the entire region or sub-region specified.",1BitUInt8,1,little_endian,,,,,,,,,,
24,MEM_DUMP,60,Request a memory dump for a specific memory type,Request one or more copies of all or part of a memory region to be sent as a series of memory dump telemetry packets.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The current state of the memory dump is presented in telemetry packet MEMDUMPCB.,38,11739,13,14652,,2,DUMP_FLAG_SUBTYPE,,1,,4,,Memory Dump Flag - Selected Sub ID,"If YES, only dump the sub-region designated by the MEMORY_SUBTYPE parameter.  Otherwise, dump the entire region including all sub-regions.",1BitUInt8,1,little_endian,,,,,,,,,,
24,MEM_DUMP,60,Request a memory dump for a specific memory type,Request one or more copies of all or part of a memory region to be sent as a series of memory dump telemetry packets.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The current state of the memory dump is presented in telemetry packet MEMDUMPCB.,40,13322,13,16785,,2,NUM_COPIES,,24,,,,Number of copies for Memory dump,Request from 1 to 255 copies of the dump to be repeated.,UInt8,8,little_endian,,,,,,,,,,
24,MEM_DUMP,60,Request a memory dump for a specific memory type,Request one or more copies of all or part of a memory region to be sent as a series of memory dump telemetry packets.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The current state of the memory dump is presented in telemetry packet MEMDUMPCB.,50,11731,13,4323,,2,MEMORY_ADDR,bytes,26,,,,The address offset of the memory to use.,The offset is the number of bytes from the start of the memory region.,UInt32,32,little_endian,,,,,,,,,,
24,MEM_DUMP,60,Request a memory dump for a specific memory type,Request one or more copies of all or part of a memory region to be sent as a series of memory dump telemetry packets.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The current state of the memory dump is presented in telemetry packet MEMDUMPCB.,60,11732,13,14646,,2,NUM_MEM_BYTES,bytes,26,,,,Number of bytes for dumps,The number of bytes to dump for each copy.  This value is ignored if the DUMP_FLAG_NBYTES parameter is NO.,UInt32,32,little_endian,,,,,,,,,,
24,MEM_DUMP,60,Request a memory dump for a specific memory type,Request one or more copies of all or part of a memory region to be sent as a series of memory dump telemetry packets.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The current state of the memory dump is presented in telemetry packet MEMDUMPCB.,70,11733,13,15137,,2,TLM_IF,,24,,50,,Telemetry Interface (node) Select,The target telemetry interface node for the command.  This This node must be registered to receive telemetry frames from the bus through the Bus Telemetry Stream  (#5) service.,UInt8,8,little_endian,,,,,,,,,,
25,FILE_DUMP_ID,70,File Dump By File ID,"Request one or more copes of a data storage file be sent as a series of file dump telemetry.  The source file is specified by node, prefix, and File ID: <nn>_<pppp>_<iiiiiiiiiiiiiiii> or <nn>_<pppp>_<aaaaaaaa>.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The state of the dump operation is provided in telemetry packet FILEDUMPCB.",10,2200,28,2200,,2,FILE_ID_LSW,,26,,,,File Dump File ID Least Significant Word,The least significant 32 bits of the 64-bit File ID.  This value determines the file name to dump out of one of the storage directories.  The value may be interprerted as either an 16 byte integer or an 8 byte ASCII string depending on the FLAG_ID_ASCII parameter.,UInt32,32,little_endian,,,,,,,,,,
25,FILE_DUMP_ID,70,File Dump By File ID,"Request one or more copes of a data storage file be sent as a series of file dump telemetry.  The source file is specified by node, prefix, and File ID: <nn>_<pppp>_<iiiiiiiiiiiiiiii> or <nn>_<pppp>_<aaaaaaaa>.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The state of the dump operation is provided in telemetry packet FILEDUMPCB.",15,2207,28,2207,,2,FILE_ID_MSW,,26,,,,File Dump File ID Most Significant Word,The most significant 32 bits of the 64-bit File ID.  This value determines the file name to dump out of one of the storage directories.    The value may be interprerted as either an 16 byte integer or an 8 byte ASCII string depending on the FLAG_ID_ASCII parameter.,UInt32,32,little_endian,,,,,,,,,,
25,FILE_DUMP_ID,70,File Dump By File ID,"Request one or more copes of a data storage file be sent as a series of file dump telemetry.  The source file is specified by node, prefix, and File ID: <nn>_<pppp>_<iiiiiiiiiiiiiiii> or <nn>_<pppp>_<aaaaaaaa>.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The state of the dump operation is provided in telemetry packet FILEDUMPCB.",20,2201,28,2201,,2,NODE_ID,,24,,50,,File Dump Source Node ID,The node ID to which the file is assigned.  This determines the directory where the file is stored.,UInt8,8,little_endian,,,,,,,,,,
25,FILE_DUMP_ID,70,File Dump By File ID,"Request one or more copes of a data storage file be sent as a series of file dump telemetry.  The source file is specified by node, prefix, and File ID: <nn>_<pppp>_<iiiiiiiiiiiiiiii> or <nn>_<pppp>_<aaaaaaaa>.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The state of the dump operation is provided in telemetry packet FILEDUMPCB.",30,2202,28,15137,,2,TLM_IF,,24,,50,,Telemetry Interface (node) Select,The target telemetry interface node for the command.  This This node must be registered to receive telemetry frames from the bus through the Bus Telemetry Stream  (#5) service.,UInt8,8,little_endian,,,,,,,,,,
25,FILE_DUMP_ID,70,File Dump By File ID,"Request one or more copes of a data storage file be sent as a series of file dump telemetry.  The source file is specified by node, prefix, and File ID: <nn>_<pppp>_<iiiiiiiiiiiiiiii> or <nn>_<pppp>_<aaaaaaaa>.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The state of the dump operation is provided in telemetry packet FILEDUMPCB.",40,2203,28,2203,,2,NUM_COPIES,,24,,,,File Dump Number of Copies,The number of copies of the file to dump (1 - 255).,UInt8,8,little_endian,,,,,,,,,,
25,FILE_DUMP_ID,70,File Dump By File ID,"Request one or more copes of a data storage file be sent as a series of file dump telemetry.  The source file is specified by node, prefix, and File ID: <nn>_<pppp>_<iiiiiiiiiiiiiiii> or <nn>_<pppp>_<aaaaaaaa>.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The state of the dump operation is provided in telemetry packet FILEDUMPCB.",43,2210,28,2211,,2,FLAG_LENGTH,,1,,4,,File Dump Flags - Specify Length,"If YES, the NUM_BYTES parameter provides the number of bytes of the file to dump for each copy.  Otherwise, dump the entire file for each copy.",1BitUInt8,1,little_endian,,,,,,,,,,
25,FILE_DUMP_ID,70,File Dump By File ID,"Request one or more copes of a data storage file be sent as a series of file dump telemetry.  The source file is specified by node, prefix, and File ID: <nn>_<pppp>_<iiiiiiiiiiiiiiii> or <nn>_<pppp>_<aaaaaaaa>.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The state of the dump operation is provided in telemetry packet FILEDUMPCB.",45,2209,28,2210,,2,FLAG_ID_ASCII,,1,,4,,File Dump Flags - File ID is ASCII,"If YES, the 64-bit File ID is interpreted as an 8 character ASCII string.  Otherwise, it is interpreted as an 16 byte long integer.",1BitUInt8,1,little_endian,,,,,,,,,,
25,FILE_DUMP_ID,70,File Dump By File ID,"Request one or more copes of a data storage file be sent as a series of file dump telemetry.  The source file is specified by node, prefix, and File ID: <nn>_<pppp>_<iiiiiiiiiiiiiiii> or <nn>_<pppp>_<aaaaaaaa>.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The state of the dump operation is provided in telemetry packet FILEDUMPCB.",50,2204,28,2204,,2,FLAG_SPARE,,190,,,,File Dump Flags - Spare,,6BitUInt8,6,little_endian,,,,,,,,,,
25,FILE_DUMP_ID,70,File Dump By File ID,"Request one or more copes of a data storage file be sent as a series of file dump telemetry.  The source file is specified by node, prefix, and File ID: <nn>_<pppp>_<iiiiiiiiiiiiiiii> or <nn>_<pppp>_<aaaaaaaa>.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The state of the dump operation is provided in telemetry packet FILEDUMPCB.",60,2205,28,2205,,2,FILE_OFFSET,bytes,26,,,,File Dump File Offset Start,The byte offset into the file where to begin the dump for each copy.,UInt32,32,little_endian,,,,,,,,,,
25,FILE_DUMP_ID,70,File Dump By File ID,"Request one or more copes of a data storage file be sent as a series of file dump telemetry.  The source file is specified by node, prefix, and File ID: <nn>_<pppp>_<iiiiiiiiiiiiiiii> or <nn>_<pppp>_<aaaaaaaa>.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The state of the dump operation is provided in telemetry packet FILEDUMPCB.",70,2206,28,2206,,2,NUM_BYTES,bytes,26,,,,File Dump Number of Bytes to Dump,If The number of bytes of the file to dump for each copy.,UInt32,32,little_endian,,,,,,,,,,
25,FILE_DUMP_ID,70,File Dump By File ID,"Request one or more copes of a data storage file be sent as a series of file dump telemetry.  The source file is specified by node, prefix, and File ID: <nn>_<pppp>_<iiiiiiiiiiiiiiii> or <nn>_<pppp>_<aaaaaaaa>.  The target inteface must be registered to send Bus telemetry frames through the Bus Telemetry Stream service (#5).  The state of the dump operation is provided in telemetry packet FILEDUMPCB.",80,2208,28,2208,,2,FILE_PREFIX,,301,1211,,,File Dump File Prefix,A four character ASCII prefix used to specify the file name to dump.,Character,8,little_endian,,,FILE_PREFIX,1,4,,,,,
26,CMD_IF_PRIV,3,Set Command Interface Node Privilege,Set the priviledge level for a node interface receiving Bus Command packets through service #3.,10,12175,2,15138,,2,CMD_PRIV,,24,,51,,Command Interface (node) Privilege Level,"The command priviledge level is compared againt that of the command command characteristics.  If the command priviledge level of the interface is greater than that of the command, execution is allowed for a command on that interface.",UInt8,8,little_endian,,,,,,,,,,
26,CMD_IF_PRIV,3,Set Command Interface Node Privilege,Set the priviledge level for a node interface receiving Bus Command packets through service #3.,20,12176,2,15139,,2,CMD_IF,,24,,50,,Command Interface (node) Select,The target command interface node for the command.  This node must be registered to send command packets to the bus through the Bus Command (#3) service.,UInt8,8,little_endian,,,,,,,,,,
27,SET_TIME,488,Set System Time,"Force the FSW absolute time to the new value.  This sets the FSW application time, the Linux OS time, and the RTC clock time.",10,17891,4,16282,,2,GPS_TIME_SEC,s,26,,,,GPS Time,"The new time value to set using GPS epoch 00:00:00 January 6, 1980",UInt32,32,little_endian,,,,,,,,,,
28,ADJUST_TIME,310,Adjust the flight software time,"Change the FSW time by a posititve or negative delta.  The delta is given by the TIME_ADJ_VAL parameter.  This value is in milliseconds, but note that the FSW will adjust the time by a whole number of seconds only.",10,11828,2,15125,,2,TIME_ADJ_VAL,ms,7,,,,Time Delta Value,The number of milliseconds to adjust the time.  The actual adjustment is rounded down to the nearest second.,Int16,16,little_endian,,,,,,,,,,
29,CLEAR_SSB,34,Clear a Status Summary Bit (SSB),"Clear one or more of the SSB's in telemetry packet SSB.  Once set, these bits will remain set until cleared by this command.",10,11829,4,17165,,2,SSB_SELECT,,24,,3581,,Clear SSB Select mode,Determines how the SSB bits to be cleared are selected.,UInt8,8,little_endian,,,,,,,,,,
29,CLEAR_SSB,34,Clear a Status Summary Bit (SSB),"Clear one or more of the SSB's in telemetry packet SSB.  Once set, these bits will remain set until cleared by this command.",20,13661,4,17166,,2,SSB_FLAG,,24,,3582,,Clear SSB Flags,Determines if just the SSB bits are cleared or if the associated counters are reset to zero as well.,UInt8,8,little_endian,,,,,,,,,,
29,CLEAR_SSB,34,Clear a Status Summary Bit (SSB),"Clear one or more of the SSB's in telemetry packet SSB.  Once set, these bits will remain set until cleared by this command.",30,13662,4,4340,,2,SSB,,25,,,,"The SSB index, category, or error code.","This parameter is interpreted differently depending on the SSB_SELECT value.  If SSB_SELECT is SSB, this is the SSB bit index (0 - 1023).  If SSB_SELECT is CODE, this is the 16-bit error code; the FSW will determine the bit index from this value.  If SSB_SELECT is CATEGORY, this is the category number (0 - 63); all SSB bits in the category will be cleared.  Finally, if SSB_SELECT is ALL, this parameter is ignored.",UInt16,16,little_endian,,,,,,,,,,
30,NV_CONFIG,824,Control in-memory and saved contents of the system configuration parameters,"The FSW maintains a small amount of configuration information in two banks.  This command allows the configuration values to be loaded, modified, and saved.  The banks are redundant so that the second copy is used if the first is missing or corrupted.  If both banks are bad, a set of built-in default values are used.",10,14282,8,17805,,2,REQUEST_TYPE,,24,,3781,,NV Configuration Request,The action to perform on the NV configuration.,UInt8,8,little_endian,,,,,,,,,,
30,NV_CONFIG,824,Control in-memory and saved contents of the system configuration parameters,"The FSW maintains a small amount of configuration information in two banks.  This command allows the configuration values to be loaded, modified, and saved.  The banks are redundant so that the second copy is used if the first is missing or corrupted.  If both banks are bad, a set of built-in default values are used.",20,14283,8,17806,1006,2,BANK,,24,,,,NV Bank Number,"Determines which bank (0 or 1) to operate on.  This parameter is only used for when the REQUEST_TYPE parameter is READ or ERASE.  Otherwise, it is ignored.",UInt8,8,little_endian,0,1,,,,,,,,
30,NV_CONFIG,824,Control in-memory and saved contents of the system configuration parameters,"The FSW maintains a small amount of configuration information in two banks.  This command allows the configuration values to be loaded, modified, and saved.  The banks are redundant so that the second copy is used if the first is missing or corrupted.  If both banks are bad, a set of built-in default values are used.",30,14284,8,17807,,2,FIELD,,24,,3782,,NV Field,"This parameter determines the the item to update when REQUEST_TYPE is SET.  Otherwise, this parameter is ignored.",UInt8,8,little_endian,,,,,,,,,,
30,NV_CONFIG,824,Control in-memory and saved contents of the system configuration parameters,"The FSW maintains a small amount of configuration information in two banks.  This command allows the configuration values to be loaded, modified, and saved.  The banks are redundant so that the second copy is used if the first is missing or corrupted.  If both banks are bad, a set of built-in default values are used.",40,14285,8,17808,,2,FIELD_ENTRY,,24,,,,NV Field Entry Index,"This parameter determines which entry of the field item to update when REQUEST_TYPE is SET.  Otherwise, this parameter is ignored.  Each entry for a field may either be a single bit or single byte.  This is the index number of that bit or byte.",UInt8,8,little_endian,,,,,,,,,,
30,NV_CONFIG,824,Control in-memory and saved contents of the system configuration parameters,"The FSW maintains a small amount of configuration information in two banks.  This command allows the configuration values to be loaded, modified, and saved.  The banks are redundant so that the second copy is used if the first is missing or corrupted.  If both banks are bad, a set of built-in default values are used.",50,14286,8,17809,,2,ENTRY_VAL,,26,,,,NV Field Entry Value,"This parameter contains the new value for the selected item when REQUEST_TYPE is SET.  Otherwise, this parameter is ignored.",UInt32,32,little_endian,,,,,,,,,,
31,CMD_CHAR,4,Set Command Characteristics,Set the priviledge an other properites of a Bus command which may prohibit or allow execution.,10,12150,2,15140,,2,CMD_ID,,24,,,,Command ID,The Bus command packet ID.,UInt8,8,little_endian,,,,,,,,,,
31,CMD_CHAR,4,Set Command Characteristics,Set the priviledge an other properites of a Bus command which may prohibit or allow execution.,20,12151,2,15141,,2,SPARE_4BITS,,188,,,,Spare Bits,,4BitUInt8,4,little_endian,,,,,,,,,,
31,CMD_CHAR,4,Set Command Characteristics,Set the priviledge an other properites of a Bus command which may prohibit or allow execution.,30,12152,2,15142,,2,CHAR_SCS_ALLOW,,1,,4,,Allow Command from SCS List,"If YES, the command can be executed from an on-board Stored Command Sequence.  Otherwise, this is prohibited.",1BitUInt8,1,little_endian,,,,,,,,,,
31,CMD_CHAR,4,Set Command Characteristics,Set the priviledge an other properites of a Bus command which may prohibit or allow execution.,40,12153,2,15143,,2,CHAR_CRITICAL,,1,,4,,Critical Command,"If YES, the command bypasses the usual command authentication process.  Authentication for Bus commands consists of verifying the command is defined, verifying the command length is the minimum expected, verifying the command priviledge level and verifying the SCID in the packet header matches the vehicle ID.",1BitUInt8,1,little_endian,,,,,,,,,,
31,CMD_CHAR,4,Set Command Characteristics,Set the priviledge an other properites of a Bus command which may prohibit or allow execution.,50,12154,2,15144,,2,CHAR_PRIVILEGE,,2,,51,,Command Privilege Level,"The command priviledge level is compared againt that of the command interface.  If the command priviledge level of the interface is greater than that of the command, execution is allowed for a command on that interface.",2BitUInt8,2,little_endian,,,,,,,,,,
33,SCS_LIST_CONTROL,311,Internal stored command list control,"These commands direct the execution of an SCS command list to another list or list entry, or they allow a delay before execution of the next command in the current list.  These commands can only be executed from within an SCS.",10,12202,6,15645,,2,LIST_OPERATION,,3,,3301,,Execute List Operation,The control code dictates what command will be executed next from the SCS and at what time.,3BitUInt8,3,little_endian,,,,,,,,,,
33,SCS_LIST_CONTROL,311,Internal stored command list control,"These commands direct the execution of an SCS command list to another list or list entry, or they allow a delay before execution of the next command in the current list.  These commands can only be executed from within an SCS.",20,12281,6,15705,,2,SPARE_BIT,,185,,,,One bit spare,,1BitUInt8,1,little_endian,,,,,,,,,,
33,SCS_LIST_CONTROL,311,Internal stored command list control,"These commands direct the execution of an SCS command list to another list or list entry, or they allow a delay before execution of the next command in the current list.  These commands can only be executed from within an SCS.",30,11801,6,15105,1000,2,LIST_NUMBER,,4,,,,List number to execute from.,The command lists are numbered 1 - 10.  A value of 0 means use the current list.,4BitUInt8,4,little_endian,0,10,,,,,,,,
33,SCS_LIST_CONTROL,311,Internal stored command list control,"These commands direct the execution of an SCS command list to another list or list entry, or they allow a delay before execution of the next command in the current list.  These commands can only be executed from within an SCS.",40,11802,6,15106,1001,2,LIST_ENTRY,,24,,,,Entry number in list to execute,An index of commands into the list.  Commands in each list are enumerated 1 - 255.,UInt8,8,little_endian,1,255,,,,,,,,
