TLM_PKT_NAME,PKT_ID,TLM_PKT_RELID,tlm_pkt_SHORT_DESCRIPTION,tlm_pkt_DESCRIPTION,MAX_LENGTH,SEQUENCE_NUMBER,AGGREGATE_SPEC_RELID,DATA_ITEM_NAME,DATA_ITEM_RELID,data_item_SHORT_DESCRIPTION,data_item_DESCRIPTION,DATA_TYPE_NAME,DATA_TYPE_RELID,NUM_BITS,ARRAY_NAME,ARRAY_RELID,NUM_DIMENSIONS,DIM_1_SIZE,DIM_2_SIZE,ENUM_NAME,ENUM_RELID,CONSTRAINT_RELID,ANALOG_NAME,ANALOG_RELID,ENDIAN_NAME,ENDIAN_RELID
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,10,11874,CST_SSB_13,15160,Status Summary Bit 13,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,11,11873,CST_SSB_12,15159,Status Summary Bit 12,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,12,11872,CST_SSB_11,15158,Status Summary Bit 11,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,13,11871,CST_SSB_10,15157,Status Summary Bit 10,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,14,11870,CST_SSB_09,15156,Status Summary Bit 09,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,15,11869,CST_SSB_08,15155,Status Summary Bit 08,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,16,11884,CST_SSB_23,15170,Status Summary Bit 23,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,17,11883,CST_SSB_22,15169,Status Summary Bit 22,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,18,11882,CST_SSB_21,15168,Status Summary Bit 21,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,19,11881,CST_SSB_20,15167,Status Summary Bit 20,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,20,11880,CST_SSB_19,15166,Status Summary Bit 19,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,21,11879,CST_SSB_18,15165,Status Summary Bit 18,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,22,11878,CST_SSB_17,15164,Status Summary Bit 17,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,23,11877,CST_SSB_16,15163,Status Summary Bit 16,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,24,11892,CST_SSB_31,15178,Status Summary Bit 31,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,25,11891,CST_SSB_30,15177,Status Summary Bit 30,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,26,11890,CST_SSB_29,15176,Status Summary Bit 29,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,27,11889,CST_SSB_28,15175,Status Summary Bit 28,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,28,11888,CST_SSB_27,15174,Status Summary Bit 27,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,29,11887,CST_SSB_26,15173,Status Summary Bit 26,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,30,11886,CST_SSB_25,15172,Status Summary Bit 25,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,31,11885,CST_SSB_24,15171,Status Summary Bit 24,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,32,11900,CST_SSB_39,15186,Status Summary Bit 39,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,33,11899,CST_SSB_38,15185,Status Summary Bit 38,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,34,11898,CST_SSB_37,15184,Status Summary Bit 37,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,35,11897,CST_SSB_36,15183,Status Summary Bit 36,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,36,11896,CST_SSB_35,15182,Status Summary Bit 35,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,37,11895,CST_SSB_34,15181,Status Summary Bit 34,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,38,11894,CST_SSB_33,15180,Status Summary Bit 33,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,39,11893,CST_SSB_32,15179,Status Summary Bit 32,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,40,11908,CST_SSB_47,15194,Status Summary Bit 47,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,41,11907,CST_SSB_46,15193,Status Summary Bit 46,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,42,11906,CST_SSB_45,15192,Status Summary Bit 45,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,43,11905,CST_SSB_44,15191,Status Summary Bit 44,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,44,11904,CST_SSB_43,15190,Status Summary Bit 43,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,45,11903,CST_SSB_42,15189,Status Summary Bit 42,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,46,11902,CST_SSB_41,15188,Status Summary Bit 41,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,47,11901,CST_SSB_40,15187,Status Summary Bit 40,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,48,11916,CST_SSB_55,15202,Status Summary Bit 55,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,49,11915,CST_SSB_54,15201,Status Summary Bit 54,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,50,11914,CST_SSB_53,15200,Status Summary Bit 53,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,51,11913,CST_SSB_52,15199,Status Summary Bit 52,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,52,11912,CST_SSB_51,15198,Status Summary Bit 51,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,53,11911,CST_SSB_50,15197,Status Summary Bit 50,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,54,11910,CST_SSB_49,15196,Status Summary Bit 49,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,55,11909,CST_SSB_48,15195,Status Summary Bit 48,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,56,11924,CST_SSB_63,15210,Status Summary Bit 63,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,57,11923,CST_SSB_62,15209,Status Summary Bit 62,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,58,11922,CST_SSB_61,15208,Status Summary Bit 61,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,59,11921,CST_SSB_60,15207,Status Summary Bit 60,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,60,11920,CST_SSB_59,15206,Status Summary Bit 59,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,61,11919,CST_SSB_58,15205,Status Summary Bit 58,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,62,11918,CST_SSB_57,15204,Status Summary Bit 57,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,63,11917,CST_SSB_56,15203,Status Summary Bit 56,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,64,11932,CST_SSB_71,15218,Status Summary Bit 71,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,65,11931,CST_SSB_70,15217,Status Summary Bit 70,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,66,11930,CST_SSB_69,15216,Status Summary Bit 69,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,67,11929,CST_SSB_68,15215,Status Summary Bit 68,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,68,11928,CST_SSB_67,15214,Status Summary Bit 67,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,69,11927,CST_SSB_66,15213,Status Summary Bit 66,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,70,11926,CST_SSB_65,15212,Status Summary Bit 65,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,71,11925,CST_SSB_64,15211,Status Summary Bit 64,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,72,11940,CST_SSB_79,15226,Status Summary Bit 79,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,73,11939,CST_SSB_78,15225,Status Summary Bit 78,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,74,11938,CST_SSB_77,15224,Status Summary Bit 77,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,75,11937,CST_SSB_76,15223,Status Summary Bit 76,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,76,11936,CST_SSB_75,15222,Status Summary Bit 75,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,77,11935,CST_SSB_74,15221,Status Summary Bit 74,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,78,11934,CST_SSB_73,15220,Status Summary Bit 73,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,79,11933,CST_SSB_72,15219,Status Summary Bit 72,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,80,11948,CST_SSB_87,15234,Status Summary Bit 87,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
